_MeanReward,Steps,_TimeStep,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-106.097,4096,155648,-0.0651550061472,-0.0929435855187,0.00496447347637,0.000414124881457,0.0,-3.94105628921,10.3079887768,0.999946076931,0.0267722528434,-1.26907232104,1.599,0.0335243426343,0.146042,-9.1874,7.78481,3.61368,0.415209,8.1555,0.0486793,11.390625,1.0,0.00116038266287,0.109214444168,-7.37374696576
-100.808,4096,159744,-0.0624186301392,-0.126204138152,0.000854859193787,0.000451400204054,2.08166817117e-17,-9.49182393224,6.07913298628,0.999851607455,0.0286069903982,-0.915201986447,1.599,0.0327115962389,0.140245,-8.93559,7.40053,3.53891,0.726736,8.16053,0.0638642,17.0859375,1.0,0.000682825795773,-0.0720006728468,0.186806542379
-99.0983,4096,163840,-0.0602880981181,-0.0969885241857,0.00154649541292,0.000269631305126,6.41847686111e-17,-8.07935057346,18.1207292136,0.999841380833,0.0288511230073,-1.11199981912,1.599,0.0325195820082,0.163102,-9.7613,8.03493,3.57405,0.333461,8.18456,0.0156923,17.0859375,1.0,0.000945560110521,0.0485403182492,-0.469970647526
-99.2862,4096,167936,-0.0736703691766,-0.5,0.00270394830323,0.00552017437075,-4.16333634234e-17,-8.98679886068,2.02679917456,0.999938542432,0.0311069146631,-2.49753503125,1.599,0.0387164654989,0.154138,-8.09913,7.43481,3.55941,-0.0105434,8.18882,0.00189982,11.390625,1.0,0.00078415098119,0.245313183106,0.501162552652
-106.486,4096,172032,-0.0755776165902,-0.506072057408,-0.000132046276121,0.00594649040339,-2.08166817117e-17,-7.50694394229,10.2543139888,0.999937214252,0.0317801579356,-3.3092053835,2.62044577052,0.0420693376387,0.117906,-9.12303,7.23537,3.53096,-0.0631135,8.18708,0.00121327,7.59375,1.0,0.00146755038645,0.354725925012,0.598164009755
-100.903,4096,176128,-0.0663214796013,-0.5,0.0014326794007,0.00234297242036,-2.42861286637e-17,-5.70309094066,16.0500706421,0.999899062853,0.0335115187031,-1.71795579413,1.599,0.0342562014668,0.176819,-8.29212,7.77955,3.59216,-0.0327792,8.18895,0.000730392,5.0625,1.0,0.00129968129523,-0.0146699127442,0.183250222178
-105.022,4096,180224,-0.0636062699383,-0.115189080063,8.35011726318e-05,0.00029715796011,0.0,-5.65362813755,10.3970016395,0.999924237882,0.033987742122,-1.06393442937,1.599,0.0373290110724,0.157953,-8.06222,9.95641,3.52904,0.0319209,8.19168,0.00100811,3.375,1.0,0.00130363796773,0.220184642635,-3.34332008551
-96.7133,4096,184320,-0.0616400406577,-0.0826016640084,8.54551108205e-05,0.000254253202228,3.46944695195e-18,-2.87246874563,25.3058533697,0.999834603794,0.029374589961,-1.08066414914,1.599,0.0335000638491,0.168659,-8.84568,8.53488,3.57102,0.00937884,8.20151,0.00138944,2.25,1.0,0.00114329432726,0.0429311989349,-0.658546564465
-104.615,4096,188416,-0.0650575385885,-0.105275538873,-0.000207969467738,0.000309255136492,-3.12250225676e-17,-9.49811397187,9.29969954834,0.999842192895,0.0317305430968,-1.09404974841,1.599,0.0361954222029,0.161999,-8.41188,7.48028,3.61762,-0.0138713,8.19445,0.00161122,1.5,1.0,0.00114826706008,0.0365274717611,0.018226908744
-99.0905,4096,192512,-0.0599134560159,-0.117780344194,0.00115505241085,0.000359644695378,8.67361737988e-19,-3.81837898688,15.2959438944,0.999923528462,0.0341552478467,-1.22187162728,1.599,0.0371794155422,0.157408,-8.74687,7.47613,3.59829,-0.100266,8.19348,0.00218388,1.0,1.0,0.000933576863917,0.175612841866,-1.62691692527
-103.654,4096,196608,-0.0691144173942,-0.504352086271,0.000109218273573,0.0034923072551,2.77555756156e-17,-12.9214305515,3.43749108305,0.999947137419,0.0305719851868,-1.08104734273,2.00395286745,0.0380418527759,0.189271,-7.60046,8.30008,3.55475,-0.0526641,8.21239,0.00526118,1.0,1.0,0.000852616776032,-0.142428483347,-0.165012952519
-99.7491,4096,200704,-0.0655453855293,-0.5,-0.000327114190441,0.00244777812588,-6.93889390391e-18,-10.6453979112,4.18728518632,0.999925171381,0.0270867565321,-1.9316963963,1.599,0.0345062042284,0.172443,-9.29355,7.78631,3.67707,0.00397026,8.19172,0.00714535,1.0,1.0,0.00161298732086,0.255197352511,0.342419589465
-126.277,4096,204800,-0.0926739159873,-0.5,0.000288186576363,0.00657065175595,2.08166817117e-17,-11.4162581156,4.06445584017,0.999926605122,0.0292170682918,-1.91835465935,1.599,0.0386194549838,0.157933,-8.82502,7.83898,3.61608,-0.0152614,8.16479,0.00644267,1.0,1.0,0.00101863509449,0.109434917938,0.508401896949
-98.7602,4096,208896,-0.06609231402,-0.5,0.00119045636594,0.00244678659258,-3.46944695195e-18,-11.159604101,11.003900877,0.99991321422,0.0289845541775,-1.18523104289,1.599,0.0371894664167,0.172137,-7.59898,8.46086,3.51406,-0.0343512,8.17218,0.020263,1.5,1.0,0.001171267261,0.32464415448,0.546499478515
-96.7557,4096,212992,-0.0664523827037,-0.5,0.00293945711132,0.0030226397941,6.93889390391e-18,-13.2006877694,7.0546624789,0.999912417781,0.0258964889865,-1.78577310989,1.599,0.0369724453457,0.141116,-8.93987,8.18948,3.59152,-0.00629762,8.16434,0.0191271,1.5,1.0,0.00131936735456,0.195324891821,0.663866138352
-103.287,4096,217088,-0.0731210572724,-0.500128723979,-0.000309770490276,0.00478466201798,1.38777878078e-17,-7.75698669079,9.05631093533,0.99991207849,0.0268877960208,-2.58024429438,1.599,0.0397674384443,0.13233,-9.06485,8.77257,3.52335,-0.0567834,8.16089,0.00943841,1.5,1.0,0.00101676286577,0.130996237004,0.741867766537
-103.626,4096,221184,-0.0762042946025,-0.500498039485,-0.000272616770454,0.00585761728885,-3.46944695195e-17,-10.8059035182,9.03375792923,0.999951773322,0.0305562692509,-2.44780825931,2.04654006992,0.0398055715642,0.140648,-9.29849,7.75355,3.53501,-0.0422402,8.179,0.0109513,1.5,1.0,0.0016877497486,0.0328468122973,0.4567834657
-105.514,4096,225280,-0.0668910821782,-0.5,0.000356637723744,0.00280492593942,0.0,-16.8352383938,7.99137549462,0.999909136669,0.032614564685,-3.47379687917,1.599,0.0417250087485,0.155586,-7.60318,7.41168,3.55727,-0.015772,8.14835,0.010668,1.5,1.0,0.00108688855028,0.00203706900954,0.739633201558
-99.0033,4096,229376,-0.0659522749509,-0.5,0.000267294473015,0.00246948125362,1.38777878078e-17,-15.2819779898,10.3944104576,0.999885234467,0.0289212223936,-2.29192808934,1.599,0.0344383223077,0.157626,-8.91032,8.34631,3.43963,-0.0684213,8.16002,0.00549802,1.5,1.0,0.00069624132789,0.128651273174,0.798798796025
-99.1138,4096,233472,-0.0801324230724,-0.500262453398,0.00191517214584,0.00795643735149,1.90819582357e-17,-3.1082781062,14.8007229834,0.999932466731,0.0313228598723,-2.0987357839,1.599,0.0421899765116,0.150298,-8.90534,10.1878,3.57305,-0.232417,8.18182,0.0410549,2.25,1.0,0.000802906251322,0.118564035031,0.817611873188
